Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
165, 679,     679.448,       4.922,    1503.352,   4.102E-02,   2.787E-02,   3.584E-02,   7.377E-21
166, 681,     680.680,       4.979,    1498.255,   4.072E-02,   2.787E-02,   3.503E-02,   6.551E-21
167, 682,     681.919,       4.979,    1492.067,   4.042E-02,   2.787E-02,   3.430E-02,   5.895E-21
168, 683,     683.171,       4.971,    1484.943,   4.012E-02,   2.786E-02,   3.361E-02,   5.490E-21
169, 684,     684.417,       4.964,    1479.014,   3.983E-02,   2.786E-02,   3.292E-02,   5.184E-21
170, 686,     685.657,       4.954,    1475.351,   3.953E-02,   2.786E-02,   3.216E-02,   4.906E-21
171, 687,     686.894,       4.995,    1474.029,   3.924E-02,   2.786E-02,   3.131E-02,   4.525E-21
172, 688,     688.143,       4.993,    1473.947,   3.896E-02,   2.785E-02,   3.039E-02,   4.024E-21
173, 689,     689.394,       4.992,    1471.516,   3.867E-02,   2.785E-02,   2.943E-02,   3.539E-21
174, 691,     690.647,       4.992,    1467.188,   3.839E-02,   2.785E-02,   2.845E-02,   3.144E-21
175, 692,     691.888,       4.976,    1461.844,   3.811E-02,   2.784E-02,   2.750E-02,   2.906E-21
176, 693,     693.130,       4.983,    1455.809,   3.784E-02,   2.784E-02,   2.657E-02,   2.763E-21
177, 694,     694.382,       5.019,    1453.248,   3.756E-02,   2.784E-02,   2.567E-02,   2.657E-21
178, 696,     695.644,       4.984,    1448.179,   3.729E-02,   2.784E-02,   2.479E-02,   2.542E-21
179, 697,     696.891,       4.970,    1441.110,   3.702E-02,   2.783E-02,   2.394E-02,   2.429E-21
180, 698,     698.118,       4.972,    1432.380,   3.676E-02,   2.783E-02,   2.315E-02,   2.343E-21
181, 699,     699.376,       4.955,    1423.364,   3.649E-02,   2.783E-02,   2.241E-02,   2.369E-21
182, 701,     700.612,       4.969,    1414.457,   3.623E-02,   2.783E-02,   2.174E-02,   2.581E-21
183, 702,     701.858,       4.960,    1410.669,   3.597E-02,   2.782E-02,   2.114E-02,   3.029E-21
184, 703,     703.097,       4.992,    1408.289,   3.571E-02,   2.782E-02,   2.061E-02,   3.660E-21
185, 704,     704.354,       4.974,    1409.550,   3.546E-02,   2.782E-02,   2.014E-02,   4.373E-21
186, 706,     705.593,       4.974,    1409.594,   3.521E-02,   2.781E-02,   1.972E-02,   4.921E-21
187, 707,     706.833,       4.980,    1407.310,   3.496E-02,   2.781E-02,   1.934E-02,   5.156E-21
188, 708,     708.089,       5.019,    1402.592,   3.471E-02,   2.781E-02,   1.900E-02,   5.111E-21
189, 709,     709.337,       5.021,    1396.537,   3.446E-02,   2.781E-02,   1.868E-02,   4.920E-21
190, 711,     710.581,       4.953,    1391.798,   3.422E-02,   2.780E-02,   1.842E-02,   4.776E-21
191, 712,     711.826,       4.984,    1385.311,   3.398E-02,   2.780E-02,   1.820E-02,   4.601E-21
192, 713,     713.068,       4.977,    1379.215,   3.374E-02,   2.780E-02,   1.804E-02,   4.294E-21
193, 714,     714.316,       5.016,    1373.513,   3.350E-02,   2.780E-02,   1.788E-02,   3.751E-21
194, 717,     716.817,       4.968,    1361.392,   3.303E-02,   2.779E-02,   1.733E-02,   2.446E-21
195, 719,     719.298,       4.998,    1348.484,   3.257E-02,   2.779E-02,   1.625E-02,   1.823E-21
196, 722,     721.800,       4.996,    1341.736,   3.212E-02,   2.778E-02,   1.496E-02,   1.858E-21
197, 724,     724.303,       5.018,    1343.325,   3.167E-02,   2.778E-02,   1.391E-02,   1.678E-21
